"","Yr","Catch","Catch_std","model"
"1",2023,25591,3572.54,"scenario_1"
"2",2024,19308.3,6825.83,"scenario_1"
"3",2025,17737.5,10282.3,"scenario_1"
"4",2026,19984.2,11860.4,"scenario_1"
"5",2027,24027.8,12090.3,"scenario_1"
"6",2028,27280.2,11956.1,"scenario_1"
"7",2029,29164.4,11857.2,"scenario_1"
"8",2030,29743.2,11815.8,"scenario_1"
"9",2031,29894.8,11801,"scenario_1"
"10",2032,29932.7,11800,"scenario_1"
"11",2033,29871.9,11802.5,"scenario_1"
"12",2034,29829.7,11804.6,"scenario_1"
"13",2035,29813.5,11805.5,"scenario_1"
"14",2036,29810.6,NA,"scenario_1"
"15",2037,29811.8,3572.54,"scenario_1"
"16",2023,25591,3572.54,"scenario_2"
"17",2024,19308.3,6825.83,"scenario_2"
"18",2025,17737.5,10282.3,"scenario_2"
"19",2026,19984.2,11860.4,"scenario_2"
"20",2027,24027.8,12090.3,"scenario_2"
"21",2028,27280.2,11956.1,"scenario_2"
"22",2029,29164.4,11857.2,"scenario_2"
"23",2030,29743.2,11815.8,"scenario_2"
"24",2031,29894.8,11801,"scenario_2"
"25",2032,29932.7,11800,"scenario_2"
"26",2033,29871.9,11802.5,"scenario_2"
"27",2034,29829.7,11804.6,"scenario_2"
"28",2035,29813.5,11805.5,"scenario_2"
"29",2036,29810.6,NA,"scenario_2"
"30",2037,29811.8,3572.54,"scenario_2"
"31",2023,15323.5,2729.69,"scenario_3"
"32",2024,14200.1,5136.84,"scenario_3"
"33",2025,14226.1,3927.94,"scenario_3"
"34",2026,16251.9,5066.25,"scenario_3"
"35",2027,18760.6,5725.6,"scenario_3"
"36",2028,20252.7,6052.64,"scenario_3"
"37",2029,21578.3,6197.19,"scenario_3"
"38",2030,22479.7,6265.41,"scenario_3"
"39",2031,23117.9,6288.11,"scenario_3"
"40",2032,23564.1,6295.04,"scenario_3"
"41",2033,23810.1,6296.92,"scenario_3"
"42",2034,23946.6,6297.29,"scenario_3"
"43",2035,24022.7,6297.26,"scenario_3"
"44",2036,24065.1,NA,"scenario_3"
"45",2037,24088.7,2729.69,"scenario_3"
"46",2023,6751.08,812.96,"scenario_4"
"47",2024,7385.64,1327.32,"scenario_4"
"48",2025,7981.96,1996.29,"scenario_4"
"49",2026,8713.65,2565.94,"scenario_4"
"50",2027,9732.55,2958.24,"scenario_4"
"51",2028,10768.9,3192.85,"scenario_4"
"52",2029,11766.3,3322.87,"scenario_4"
"53",2030,12520.2,3403.73,"scenario_4"
"54",2031,13118.9,3436.66,"scenario_4"
"55",2032,13586.1,3450.12,"scenario_4"
"56",2033,13884.6,3455.55,"scenario_4"
"57",2034,14075.3,3457.65,"scenario_4"
"58",2035,14197.2,3458.4,"scenario_4"
"59",2036,14275.1,NA,"scenario_4"
"60",2037,14324.8,812.96,"scenario_4"
"61",2023,0,0,"scenario_5"
"62",2024,0,0,"scenario_5"
"63",2025,0,0,"scenario_5"
"64",2026,0,0,"scenario_5"
"65",2027,0,0,"scenario_5"
"66",2028,0,0,"scenario_5"
"67",2029,0,0,"scenario_5"
"68",2030,0,0,"scenario_5"
"69",2031,0,0,"scenario_5"
"70",2032,0,0,"scenario_5"
"71",2033,0,0,"scenario_5"
"72",2034,0,0,"scenario_5"
"73",2035,0,0,"scenario_5"
"74",2036,0,NA,"scenario_5"
"75",2037,0,0,"scenario_5"
"76",2023,30291.1,3843.93,"scenario_6"
"77",2024,20733.9,7482.57,"scenario_6"
"78",2025,18580.6,11106.1,"scenario_6"
"79",2026,21079.5,12505.6,"scenario_6"
"80",2027,25471.9,12564.5,"scenario_6"
"81",2028,28765,12390.7,"scenario_6"
"82",2029,30438.1,12299.9,"scenario_6"
"83",2030,30828.1,12269.5,"scenario_6"
"84",2031,30875,12262.5,"scenario_6"
"85",2032,30871.2,12264.6,"scenario_6"
"86",2033,30812,12267.6,"scenario_6"
"87",2034,30780.8,12269.2,"scenario_6"
"88",2035,30772.4,12269.7,"scenario_6"
"89",2036,30772.8,NA,"scenario_6"
"90",2037,30774.6,3843.93,"scenario_6"
"91",2023,25591,6315.8,"scenario_7"
"92",2024,19308.3,8013.3,"scenario_7"
"93",2025,21144.6,11134.7,"scenario_7"
"94",2026,22202.9,12448.5,"scenario_7"
"95",2027,25852.6,12538,"scenario_7"
"96",2028,28804,12386.3,"scenario_7"
"97",2029,30395.8,12301.5,"scenario_7"
"98",2030,30791.8,12271.4,"scenario_7"
"99",2031,30857.8,12263.5,"scenario_7"
"100",2032,30865.9,12264.9,"scenario_7"
"101",2033,30812.1,12267.6,"scenario_7"
"102",2034,30781.9,12269.2,"scenario_7"
"103",2035,30773.1,12269.7,"scenario_7"
"104",2036,30773,NA,"scenario_7"
"105",2037,30774.6,6315.8,"scenario_7"
