"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,10547.1,10547.1,10547.1,10547.1,10547.1,10547.1,10547.1
"2",2023,25591,25591,15323.5,6751.08,13600.7,30291.1,25591
"3",2024,19308.3,19308.3,14200.1,7385.64,12980,20733.9,19308.3
"4",2025,17737.5,17737.5,14226.1,7981.96,13348.7,18580.6,21144.6
"5",2026,19984.2,19984.2,16251.9,8713.65,15613.4,21079.5,22202.9
"6",2027,24027.8,24027.8,18760.6,9732.55,18215.9,25471.9,25852.6
"7",2028,27280.2,27280.2,20252.7,10768.9,19475,28765,28804
"8",2029,29164.4,29164.4,21578.3,11766.3,20492.5,30438.1,30395.8
"9",2030,29743.2,29743.2,22479.7,12520.2,21174,30828.1,30791.8
"10",2031,29894.8,29894.8,23117.9,13118.9,21668.3,30875,30857.8
"11",2032,29932.7,29932.7,23564.1,13586.1,22028.7,30871.2,30865.9
"12",2033,29871.9,29871.9,23810.1,13884.6,22240.3,30812,30812.1
"13",2034,29829.7,29829.7,23946.6,14075.3,22365.6,30780.8,30781.9
"14",2035,29813.5,29813.5,24022.7,14197.2,22440.1,30772.4,30773.1
"15",2036,29810.6,29810.6,24065.1,14275.1,22484.4,30772.8,30773
"16",2037,29811.8,29811.8,24088.7,14324.8,22510.7,30774.6,30774.6
