"Year","FshTrawl","FshLL","FshPot","Total Landings"
2013,"8,122.85","1,814.65","3,672.97","13,610.47"
2014,"6,765.70","435.50","3,400.46","10,601.66"
2015,"6,129.25","3,086.88","0.00","9,216.13"
2016,"11,535.40","1,709.68","0.00","13,245.08"
2017,"8,536.85","3,788.90","2,852.43","15,178.18"
2018,"10,119.00","3,338.14","6,957.15","20,414.29"
2019,"10,294.00","2,581.65","6,269.29","19,144.94"
2020,"4,319.34","3,592.23","6,352.54","14,264.11"
2021,"3,421.52","3,366.19","7,178.36","13,966.07"
2022,"3,353.98","1,677.51","6,106.79","11,138.28"
