"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1991,0,329.807,4836.65,15990.2,26983.8,33146.5,34104.7,31440.3,26948.7,21961.2,65779.6
1992,0,382.384,4836.23,15959.3,26683.7,32257.9,32790.3,30096.6,25777.3,21005,62915.5
1993,0,220.225,5604.79,15813.3,25347,28483.1,27301.2,24442.5,20807.8,16940.7,50738
1994,0,531.971,3228.25,18381,25527.5,27871.1,24698.3,20570.1,16970.1,13713.4,41025.9
1995,0,364.61,7799.69,10620,30100.1,29007.1,25418.3,19781.2,15240.3,11945,35445.6
1996,0,335.232,5346.23,25717.1,17642,35369.5,27566.5,21036.8,14967.5,10880.3,31028.1
1997,0,538.898,4914.53,17570.3,41961,19751.6,30923.9,20439,14055.3,9380.66,24080
1998,0,568.583,7901.85,16197.5,29040.6,48307,17936.1,23838.2,14131.7,9066.56,19783.7
1999,0,344.265,8334.62,25908.7,26082.9,31535.4,40588.1,12842.3,15549.4,8716,16607.3
2000,0,414.588,5047.78,27430,42368,29184.2,27546.9,30311.8,8743.73,10011.2,15326.8
2001,0,427.217,6076.28,16546.4,44310,46325.2,24440.5,19130,18576.3,4949.18,13415.8
2002,0,371.739,6262.69,19875.2,26166.3,46732,38788.4,18096.8,13152.5,12142,11095.3
2003,0,177.041,5451.12,20644.3,32709,29513.6,40867.1,28715.2,12134.2,8317.56,14395.4
2004,0,239.788,2595.96,17966.1,34088.4,37404.4,26260.9,30282.6,18720.1,7267.67,12539.9
2005,0,113.295,3515.09,8533.13,29430.3,38666.5,33407,19915.1,20589,11857.9,11718.7
2006,0,267.263,1661.32,11588.7,14094.9,33790.3,35192,26227.7,14301.6,13992.7,15640.1
2007,0,130.531,3918.08,5459.04,18911.8,15874.6,30176.9,27201.2,18583.6,9597.17,19275.3
2008,0,268.117,1913.48,12856.7,8814.63,20537.1,13155.4,20871.2,16835.3,10771,15618.7
2009,0,240.376,3929.73,6268.48,20634.6,9440.88,16584,8729.72,12210,9126.7,13501.3
2010,0,125.363,3523.48,12872.3,9994.82,21523.2,7238,10267.7,4736.92,6142.92,10759
2011,0,123.328,1837.5,11534.5,20424.8,10193.8,15527.7,4003.51,4732.7,1949.96,6311.77
2012,0,152.003,1808.47,6059.95,19078.7,23389.2,9080.94,11567.7,2647.82,2906,4588.47
2013,0,128.954,2228.87,5952.55,9839.18,20556,18804.3,6035.59,6908.9,1489.63,4001.88
2014,0,160.482,1891.03,7355.32,9865.86,11256.1,18078.3,13617.7,3834.14,4048.07,2925.35
2015,0,173.457,2353.41,6245.01,12272.6,11557.6,10364.7,13914.1,9226.42,2387.49,4225.22
2016,0,176.568,2542.43,7735.33,10266.6,14124.6,10630.4,8194.69,9930.05,6147.91,4104.62
2017,0,118.06,2589.2,8385.77,12790,11703.1,12411.4,7730.53,5248.78,5878.44,5978.65
2018,0,215.602,1730.73,8500.85,13570.8,13937.8,9713.64,8555.66,4743.43,3004.96,6572.52
2019,0,178.632,3159.01,5626.83,13085.9,13258.8,10074.1,5906.27,4748.76,2495.08,4704.97
2020,0,233.587,2618.62,10327.4,8767.47,12778.5,9340.64,5878.43,3132.06,2384.85,3403.54
2021,0,133.993,3424.44,8547.41,15872.2,8534.21,9618.6,6197.73,3621.96,1834.68,3243.31
2022,0,183.926,1963.92,11170.3,13302,15954.3,6558.82,6410.53,3819.11,2120.89,2810.06
2023,0,329.807,2696.48,6453.23,18146.5,14642.8,13496.7,4652.73,4079.96,2278.78,2812.43
2024,0,329.807,4836.21,8898.9,10770.7,21599.5,14249.9,11550.7,3662.31,3037.47,3645.73
2025,0,329.807,4835.83,15936,14712.3,12476.5,20034.2,11437.7,8447.78,2522.05,4423.24
2026,0,329.807,4835.58,15918.3,26177.7,16731.5,11202,15396.9,7958.99,5518.32,4258.75
2027,0,329.807,4835.23,15895.4,25924.1,29045,14381.2,8122.09,10022.5,4843.72,5845.69
2028,0,329.807,4834.88,15871.7,25658.9,28044.7,23872.6,9822.57,4937.24,5672.29,5776.87
2029,0,329.807,4834.7,15858.7,25501.9,27391.6,22515.7,15802.3,5760.34,2689.81,6009.46
2030,0,329.807,4834.7,15858.1,25481.1,27224.1,21991.4,14904.1,9267.1,3138.23,4364.19
2031,0,329.807,4834.7,15858.1,25480.1,27201.8,21856.9,14557.1,8740.38,5048.72,3865.77
2032,0,329.807,4834.7,15858.1,25480.1,27200.7,21839,14468,8536.84,4761.76,4757.84
2033,0,329.807,4834.7,15858.1,25480.1,27200.7,21838.2,14456.2,8484.63,4650.87,5002.33
2034,0,329.807,4834.7,15858.1,25480.1,27200.7,21838.2,14455.6,8477.68,4622.43,5050.39
2035,0,329.807,4834.7,15858.1,25480.1,27200.7,21838.2,14455.6,8477.36,4618.64,5055.93
2036,0,329.807,4834.7,15858.1,25480.1,27200.7,21838.2,14455.6,8477.36,4618.47,5056.27
2037,0,329.807,4834.7,15858.1,25480.1,27200.7,21838.2,14455.6,8477.36,4618.47,5056.33
