"Year","OFL","ABC","ACL","Catch"
2013,"fill in","fill in","fill in","13,612.30"
2014,"fill in","fill in","fill in","10,583.20"
2015,"fill in","fill in","fill in","9,209.56"
2016,"fill in","fill in","fill in","13,231.80"
2017,"fill in","fill in","fill in","15,170.30"
2018,"fill in","fill in","fill in","20,414.30"
2019,"fill in","fill in","fill in","19,186.90"
2020,"fill in","fill in","fill in","14,249.90"
2021,"fill in","fill in","fill in","13,966.10"
2022,"fill in","fill in","fill in","11,138.30"
